,Name,Price,Reviews
0,"Redmi 8A Dual (Sky White, 32 GB)","8,999",4.2
1,"Redmi 9A (SeaBlue, 32 GB)","8,043",4.6
2,"Redmi 9A (Sea Blue, 32 GB)","9,090",4.4
3,"Redmi K20 Pro (Glacier Blue, 128 GB)","22,999",4.5
4,"Redmi 9A (Midnight Black, 32 GB)","8,071",4.6
5,"Redmi Note 9 Pro (Interstellar Black, 64 GB)","16,795",4.3
6,"Redmi Note 9 Pro (Aurora Blue, 128 GB)","19,977",4.2
7,"Redmi Note 9 (Pebble Grey, 128 GB)","16,253",4.4
8,"Redmi 9A (Nature Green, 32 GB)","8,030",4.6
9,"Redmi 9A (Nature Green, 32 GB)","9,480",4.4
10,"Redmi Note 9 (Aqua Green, 128 GB)","14,650",4.4
11,"Redmi Note 9 (Scarlet Red, 128 GB)","16,890",4.4
12,"Redmi Note 9 (Scarlet Red, 128 GB)","14,378",4.4
13,"Redmi Note 9 (Scralet Red, 128 GB)","14,460",4.4
14,"Redmi Note 9 Pro (Interstellar Black, 128 GB)","19,799",4.2
15,"Redmi Note 9 (Pebble Grey, 64 GB)","13,725",4.4
16,"Redmi K20 Pro (Carbon Black, 128 GB)","22,999",4.5
17,"Redmi 8A Dual (Midnight Grey, 64 GB)","9,976",4.2
18,"Redmi 9 Prime (MatteBlack, 128 GB)","13,990",4.3
19,"Redmi Note 9 (Arctic White, 128 GB)","16,899",4.4
20,"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)","17,769",4.3
21,"Redmi 9A (Midnight Black, 32 GB)","9,499",4.4
22,"Redmi 8A Dual (Sky White, 64 GB)","9,551",4.2
23,"Redmi Note 9 (Aqua Green, 128 GB)","16,490",4.4
24,"Redmi 8A Dual (Sky White, 32 GB)","8,248",4.2
25,"Redmi 8A Dual (Midnight Grey, 32 GB)","8,490",4.2
26,"Redmi 8A Dual (Sea Blue, 32 GB)","8,247",4.2
27,"Redmi Note 8 (Neptune Blue, 64 GB)","13,990",4.4
28,"Redmi Note 8 (Space Black, 64 GB)","13,990",4.4
